method_eco,method_comm,scenario,budget,budget_M,roadside_built,total_cost,te,habitat,rancher,hunter,recreationist,n_conservation_alts,n_alt3,n_alt1,n_alt7,choices
global_linear,global_linear,Balanced,5000000,5.0,True,4979879.2719159685,0.389004271931069,0.6808503947229183,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
global_linear,global_linear,Balanced,10000000,10.0,True,9987978.828631904,0.44383434063910226,0.9979891045825106,12.583333333333334,15.61111111111111,5.888888888888889,0,3,2,0,"10,10,3,3,11,11,11,3,11,11,11,11,11,10,11,10,11,1,10,1,11"
global_linear,global_linear,Balanced,20000000,20.0,False,19994468.133580524,0.40804717823427716,0.9641875487142486,15.958333333333332,16.111111111111114,13.222222222222218,0,15,3,0,"3,3,3,3,3,3,3,3,3,3,11,11,3,10,3,3,1,1,3,1,3"
global_linear,global_linear,Balanced,40000000,40.0,True,26272713.404053356,1.1613300660842125,0.545910598825616,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Balanced,60000000,60.0,True,26272713.404053356,1.1613300660842125,0.545910598825616,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Conservation priority,5000000,5.0,True,4986330.577044,0.4114373270993378,0.796625075770023,11.25,14.33333333333333,0.4444444444444444,0,0,2,0,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,11,11"
global_linear,global_linear,Conservation priority,10000000,10.0,True,9985051.616256872,0.7724435290307111,1.5797947211724648,11.208333333333332,13.722222222222221,4.888888888888889,2,4,1,1,"11,3,3,3,11,11,11,4,11,11,11,11,11,11,11,11,11,1,3,7,11"
global_linear,global_linear,Conservation priority,20000000,20.0,True,19981610.460063744,1.2868848835937408,1.694986547431197,13.416666666666666,14.888888888888893,10.888888888888884,2,8,4,2,"3,3,3,3,11,3,3,7,3,11,11,11,11,10,10,1,1,1,3,7,1"
global_linear,global_linear,Conservation priority,40000000,40.0,True,37278298.67029959,1.694325440460184,2.4448572161845816,12.75,12.611111111111114,15.111111111111109,7,13,1,7,"3,3,7,3,7,3,7,7,3,3,3,3,3,1,3,3,7,7,3,7,3"
global_linear,global_linear,Conservation priority,60000000,60.0,True,37278298.67029959,1.694325440460184,2.4448572161845816,12.75,12.611111111111114,15.111111111111109,7,13,1,7,"3,3,7,3,7,3,7,7,3,3,3,3,3,1,3,3,7,7,3,7,3"
global_linear,global_linear,T&E emphasis,5000000,5.0,True,4737198.105869,0.7066304495591782,0.6901629472485075,10.333333333333334,13.888888888888884,0.3333333333333333,1,0,0,0,"11,11,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11"
global_linear,global_linear,T&E emphasis,10000000,10.0,True,9979074.320331968,1.2160128725994732,1.0094882999885628,11.708333333333332,14.444444444444445,3.3333333333333335,1,1,3,1,"11,10,11,3,11,11,11,7,11,11,11,11,11,11,11,11,11,1,1,1,11"
global_linear,global_linear,T&E emphasis,20000000,20.0,True,19928554.807771713,1.2876216681354695,1.1330580744882914,14.541666666666666,15.777777777777782,11.222222222222216,1,9,5,1,"3,3,3,3,1,3,3,7,3,11,11,11,11,10,3,10,1,1,3,1,1"
global_linear,global_linear,T&E emphasis,40000000,40.0,True,35162052.72899349,1.601849230571909,2.0396797962106614,14.166666666666666,13.722222222222227,15.333333333333332,5,16,0,5,"3,3,3,3,7,3,7,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
global_linear,global_linear,T&E emphasis,60000000,60.0,True,35162052.72899349,1.601849230571909,2.0396797962106614,14.166666666666666,13.722222222222227,15.333333333333332,5,16,0,5,"3,3,3,3,7,3,7,7,3,3,3,3,3,3,3,3,3,7,3,7,3"
global_linear,global_linear,Habitat emphasis,5000000,5.0,True,4661576.028596,0.4041837408236634,0.8919883901648603,10.875,14.166666666666663,0.2222222222222222,0,0,1,0,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,11"
global_linear,global_linear,Habitat emphasis,10000000,10.0,True,9991374.243299969,0.4765357992639072,1.6754615049748653,11.708333333333334,14.444444444444445,4.111111111111111,1,1,3,1,"11,10,3,10,11,11,11,11,11,11,11,11,11,11,11,11,1,1,10,7,1"
global_linear,global_linear,Habitat emphasis,20000000,20.0,True,19995236.41605168,0.5718239954081384,2.101026712866836,13.125,14.27777777777778,12.222222222222218,2,10,4,2,"3,3,3,3,3,3,3,3,3,11,11,11,11,1,10,1,1,7,3,7,1"
global_linear,global_linear,Habitat emphasis,40000000,40.0,True,35901058.83129362,1.6204677350157097,2.6518118135005246,12.083333333333332,12.055555555555557,15.111111111111109,8,12,1,8,"3,3,7,7,7,3,3,7,3,3,3,3,1,7,3,3,7,7,3,7,3"
global_linear,global_linear,Habitat emphasis,60000000,60.0,True,35901058.83129362,1.6204677350157097,2.6518118135005246,12.083333333333332,12.055555555555557,15.111111111111109,8,12,1,8,"3,3,7,7,7,3,3,7,3,3,3,3,1,7,3,3,7,7,3,7,3"
global_linear,global_linear,Community priority,5000000,5.0,True,4979879.2719159685,0.389004271931069,0.6808503947229183,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
global_linear,global_linear,Community priority,10000000,10.0,False,9961939.043288872,0.3722787031867076,0.9312014743364917,12.791666666666668,15.38888888888889,6.0,0,4,3,0,"10,3,3,3,11,11,11,3,11,11,11,11,11,10,11,11,1,1,10,1,11"
global_linear,global_linear,Community priority,20000000,20.0,False,19992216.31836652,0.3531128707369131,0.49361317639719837,15.666666666666666,16.22222222222223,13.666666666666663,0,15,0,0,"10,3,3,3,3,3,3,3,3,11,11,11,3,10,3,3,10,3,3,3,3"
global_linear,global_linear,Community priority,40000000,40.0,True,23782387.46941933,0.3916998613853668,0.5349168467958108,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Community priority,60000000,60.0,True,23782387.46941933,0.3916998613853668,0.5349168467958108,17.166666666666668,16.22222222222223,15.333333333333332,0,21,0,0,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Rancher-conservation,5000000,5.0,True,4986330.577044,0.4114373270993378,0.796625075770023,11.25,14.33333333333333,0.4444444444444444,0,0,2,0,"11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,11,11"
global_linear,global_linear,Rancher-conservation,10000000,10.0,True,9970890.461477937,0.44299378827205066,1.1006302687175507,13.666666666666668,15.55555555555556,3.8888888888888893,0,2,6,0,"11,10,11,3,11,11,11,11,11,11,11,11,11,10,1,1,1,1,3,1,1"
global_linear,global_linear,Rancher-conservation,20000000,20.0,True,19956995.61458855,0.6687965842091335,1.0647081682826292,16.333333333333336,16.16666666666667,11.44444444444444,0,14,6,0,"3,3,3,3,11,3,3,1,3,3,3,3,3,3,3,1,1,1,3,1,1"
global_linear,global_linear,Rancher-conservation,40000000,40.0,True,26272713.404053356,1.1613300660842125,0.545910598825616,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Rancher-conservation,60000000,60.0,True,26272713.404053356,1.1613300660842125,0.545910598825616,16.833333333333336,15.94444444444445,15.333333333333332,1,20,0,1,"3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3,3,3,3"
global_linear,global_linear,Hunter-recreationist,5000000,5.0,True,4979879.2719159685,0.389004271931069,0.6808503947229183,10.916666666666666,14.388888888888886,1.4444444444444444,0,1,0,0,"11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,11,11"
