method,paddock,te_count,size_km2,spread,roadside_built
global_linear,1,0.0,0.49,0.0,False
global_linear,2,3.0,0.56,0.014649770700453557,False
global_linear,3,9.0,0.8,0.03391443183077932,False
global_linear,4,8.0,0.7,0.026524940474631314,False
global_linear,5,58.0,2.17,0.21565568534447882,False
global_linear,6,6.0,3.07,0.02696475862737531,False
global_linear,7,28.0,2.22,0.13106331894786846,False
global_linear,8,216.0,1.49,0.903954182383963,False
global_linear,10,2.0,1.51,0.006641885228668289,False
global_linear,11,4.0,1.68,0.012465914826043551,False
global_linear,12,5.0,2.17,0.01612874189916407,False
global_linear,13,1.0,1.83,0.0034401916552726183,False
global_linear,14,2.0,1.42,0.006342882635710477,False
global_linear,15,0.0,0.55,0.0,False
global_linear,16,2.0,2.77,0.0060438520691222545,False
global_linear,17,13.0,2.3,0.037735406798175344,False
global_linear,18,21.0,2.58,0.060376136944888706,False
global_linear,19,28.0,2.63,0.08520339750761163,False
global_linear,20,5.0,0.78,0.015740023062898626,False
global_linear,21,16.0,2.87,0.054382252012212765,False
global_linear,22,6.0,3.55,0.02225275588629097,False
global_linear,1,0.0,0.49,0.0,True
global_linear,2,3.0,0.56,0.012540031363088263,True
global_linear,3,9.0,0.8,0.03034831635305421,True
global_linear,4,8.0,0.7,0.026404506634678655,True
global_linear,5,58.0,2.17,0.20059005397003485,True
global_linear,6,6.0,3.07,0.023388161982604124,True
global_linear,7,28.0,2.22,0.11293306665490617,True
global_linear,8,216.0,1.49,0.7935837737895374,True
global_linear,10,2.0,1.51,0.006608844262744055,True
global_linear,11,4.0,1.68,0.012625029299796465,True
global_linear,12,5.0,2.17,0.01617719806378628,True
global_linear,13,1.0,1.83,0.00329614461600339,True
global_linear,14,2.0,1.42,0.006392171981669205,True
global_linear,15,0.0,0.55,0.0,True
global_linear,16,2.0,2.77,0.006175479429498209,True
global_linear,17,13.0,2.3,0.03901767544580001,True
global_linear,18,21.0,2.58,0.06260748838970118,True
global_linear,19,28.0,2.63,0.08688387049310232,True
global_linear,20,5.0,0.78,0.015895512891369475,True
global_linear,21,16.0,2.87,0.050983159056848124,True
global_linear,22,6.0,3.55,0.02029530064675598,True
vector,1,0.0,0.49,0.0,False
vector,2,3.0,0.56,0.008720342512372225,False
vector,3,9.0,0.8,0.020187719502513336,False
vector,4,8.0,0.7,0.015789091228022353,False
vector,5,58.0,2.17,0.12837002567460004,False
vector,6,6.0,3.07,0.01605089498000652,False
vector,7,28.0,2.22,0.07801603556827771,False
vector,8,216.0,1.49,0.5380828305821534,False
vector,10,2.0,1.51,0.003953612333335703,False
vector,11,4.0,1.68,0.007420392389472227,False
vector,12,5.0,2.17,0.009600706832224012,False
vector,13,1.0,1.83,0.002047789699619885,False
vector,14,2.0,1.42,0.0037756296825493104,False
vector,15,0.0,0.55,0.0,False
vector,16,2.0,2.77,0.00359763038033243,False
vector,17,13.0,2.3,0.02246217219724814,False
vector,18,21.0,2.58,0.035939169595126816,False
vector,19,28.0,2.63,0.05071770914893378,False
vector,20,5.0,0.78,0.00936932018034007,False
vector,21,16.0,2.87,0.032371282379590874,False
vector,22,6.0,3.55,0.013246053958145338,False
vector,1,0.0,0.49,0.0,True
vector,2,3.0,0.56,0.007119321897185301,True
vector,3,9.0,0.8,0.01722957677689541,True
vector,4,8.0,0.7,0.014990567154558336,True
vector,5,58.0,2.17,0.11388050972424024,True
vector,6,6.0,3.07,0.013278105047471274,True
vector,7,28.0,2.22,0.06411521878000757,True
vector,8,216.0,1.49,0.45053941050107676,True
vector,10,2.0,1.51,0.0037520232854707926,True
vector,11,4.0,1.68,0.007167577571712837,True
vector,12,5.0,2.17,0.009184241815345346,True
vector,13,1.0,1.83,0.0018713122688094512,True
vector,14,2.0,1.42,0.003629012451565719,True
vector,15,0.0,0.55,0.0,True
vector,16,2.0,2.77,0.0035059901091999,True
vector,17,13.0,2.3,0.022151411199512656,True
vector,18,21.0,2.58,0.035543999063077696,True
vector,19,28.0,2.63,0.049326371187115,True
vector,20,5.0,0.78,0.009024321368734479,True
vector,21,16.0,2.87,0.028944546480919774,True
vector,22,6.0,3.55,0.011522202307221764,True
within_unit,1,0.0,0.49,0.0,False
within_unit,2,3.0,0.56,1.0,False
within_unit,3,9.0,0.8,1.0,False
within_unit,4,8.0,0.7,1.0,False
within_unit,5,58.0,2.17,1.0,False
within_unit,6,6.0,3.07,1.0,False
within_unit,7,28.0,2.22,1.0,False
within_unit,8,216.0,1.49,1.0,False
within_unit,10,2.0,1.51,1.0,False
within_unit,11,4.0,1.68,1.0,False
within_unit,12,5.0,2.17,1.0,False
within_unit,13,1.0,1.83,1.0,False
within_unit,14,2.0,1.42,1.0,False
within_unit,15,0.0,0.55,0.0,False
within_unit,16,2.0,2.77,1.0,False
within_unit,17,13.0,2.3,1.0,False
within_unit,18,21.0,2.58,1.0,False
within_unit,19,28.0,2.63,1.0,False
within_unit,20,5.0,0.78,1.0,False
within_unit,21,16.0,2.87,1.0,False
within_unit,22,6.0,3.55,1.0,False
within_unit,1,0.0,0.49,0.0,True
within_unit,2,3.0,0.56,1.0,True
within_unit,3,9.0,0.8,1.0,True
within_unit,4,8.0,0.7,1.0,True
within_unit,5,58.0,2.17,1.0,True
within_unit,6,6.0,3.07,1.0,True
within_unit,7,28.0,2.22,1.0,True
within_unit,8,216.0,1.49,1.0,True
within_unit,10,2.0,1.51,1.0,True
within_unit,11,4.0,1.68,1.0,True
within_unit,12,5.0,2.17,1.0,True
within_unit,13,1.0,1.83,1.0,True
within_unit,14,2.0,1.42,1.0,True
within_unit,15,0.0,0.55,0.0,True
within_unit,16,2.0,2.77,1.0,True
within_unit,17,13.0,2.3,1.0,True
within_unit,18,21.0,2.58,1.0,True
within_unit,19,28.0,2.63,1.0,True
within_unit,20,5.0,0.78,1.0,True
within_unit,21,16.0,2.87,1.0,True
within_unit,22,6.0,3.55,1.0,True
